#[0]step() [1]time(s) [2]total(J) [3]ele(J) [4]ion(J) [5]total_mean(J) [6]ele_mean(J) [7]ion_mean(J)
1104 1.27593765000812e-13 8.34943797235728e+01 8.32424592604732e+01 2.51920463099667e-01 1.79269354183091e-15 3.57456920133850e-15 1.08178823233133e-17
1112 1.28518357500818e-13 8.85664687588219e+01 8.82772584758094e+01 2.89210283012450e-01 1.90159549771328e-15 3.79077182641652e-15 1.24191690100341e-17
1120 1.29442950000823e-13 9.45302738359192e+01 9.42085731642722e+01 3.21700671647020e-01 2.02964333616476e-15 4.04547231216842e-15 1.38143601610937e-17
1128 1.30367542500829e-13 9.97794320108709e+01 9.94014760488966e+01 3.77955961974298e-01 2.14234711325058e-15 4.26846417091249e-15 1.62300555886762e-17
1136 1.31292135000835e-13 1.05513545931908e+02 1.05077864615631e+02 4.35681316277300e-01 2.26546329218860e-15 4.51221770637673e-15 1.87088780004720e-17
1144 1.32216727500841e-13 1.11182339113487e+02 1.10703570131387e+02 4.78768982100069e-01 2.38717698070555e-15 4.75379482760877e-15 2.05591338023302e-17
1152 1.33141320000847e-13 1.16428186933431e+02 1.15881557023177e+02 5.46629910254109e-01 2.49980968172539e-15 4.97614616889257e-15 2.34731945582077e-17
1160 1.34065912500853e-13 1.23146017016861e+02 1.22517304491485e+02 6.28712525375651e-01 2.64404706208025e-15 5.26109616603109e-15 2.69979581294122e-17
1168 1.34990505000859e-13 1.27742952253721e+02 1.27054952980124e+02 6.87999273596237e-01 2.74274707205238e-15 5.45595031472023e-15 2.95438293845331e-17
1176 1.35915097500865e-13 1.34064281232602e+02 1.33299407265590e+02 7.64873967011481e-01 2.87847124502961e-15 5.72409753389533e-15 3.28449561638924e-17
1184 1.36839690000871e-13 1.40017580096878e+02 1.39145779088926e+02 8.71801007951680e-01 3.00629350638313e-15 5.97515043219902e-15 3.74365805672405e-17
1192 1.37764282500876e-13 1.45710667666218e+02 1.44756720816692e+02 9.53946849525374e-01 3.12852881554313e-15 6.21609357189915e-15 4.09640591871181e-17
1200 1.38688875000882e-13 1.51555024560465e+02 1.50516455602729e+02 1.03856895773571e+00 3.25401200249726e-15 6.46342613219295e-15 4.45978728015679e-17
1208 1.39613467500888e-13 1.57374272386921e+02 1.56208008120265e+02 1.16626426665620e+00 3.37895607695280e-15 6.70783083284365e-15 5.00813210619599e-17
1216 1.40538060000894e-13 1.63293524998764e+02 1.62016629392798e+02 1.27689560596582e+00 3.50604733704538e-15 6.95726265991242e-15 5.48320141783366e-17
1224 1.41462652500900e-13 1.69470742193066e+02 1.68099919930976e+02 1.37082226209028e+00 3.63867731055227e-15 7.21848924059908e-15 5.88653805054490e-17
1232 1.42387245000906e-13 1.74730635164030e+02 1.73218388908155e+02 1.51224625587503e+00 3.75161157260663e-15 7.43828478395971e-15 6.49383612535477e-17
1240 1.43311837500912e-13 1.80403349419298e+02 1.78750354648772e+02 1.65299477052510e+00 3.87340944982590e-15 7.67583656384402e-15 7.09823358077835e-17
1248 1.44236430000918e-13 1.86397454989832e+02 1.84636466822159e+02 1.76098816767282e+00 4.00210786498780e-15 7.92859597866110e-15 7.56197513145048e-17
1256 1.45161022500923e-13 1.91963451849173e+02 1.90054512433922e+02 1.90893941525075e+00 4.12161443125761e-15 8.16125583935376e-15 8.19730231614698e-17
1264 1.46085615000929e-13 1.97659722087010e+02 1.95583527322978e+02 2.07619476403246e+00 4.24391807494839e-15 8.39868090478000e-15 8.91552451167755e-17
1272 1.47010207500935e-13 2.03056830306797e+02 2.00852447338412e+02 2.20438296838508e+00 4.35979846213382e-15 8.62493706514348e-15 9.46598591241530e-17
1280 1.47934800000941e-13 2.08729432793303e+02 2.06374521340056e+02 2.35491145324682e+00 4.48159393958512e-15 8.86206407735757e-15 1.01123801812670e-16
1288 1.48859392500947e-13 2.14014205023207e+02 2.11473507668924e+02 2.54069735428284e+00 4.59506237995154e-15 9.08102300350105e-15 1.09101756402025e-16
1296 1.49783985000953e-13 2.19388486278026e+02 2.16694816929115e+02 2.69366934891111e+00 4.71045265327765e-15 9.30523467910449e-15 1.15670627450807e-16
1304 1.50708577500959e-13 2.25450432601349e+02 2.22602622887832e+02 2.84780971351649e+00 4.84060766563567e-15 9.55892566102799e-15 1.22289670243349e-16
