#[0]step() [1]time(s) [2]xmin(m) [3]xmax(m) [4]ymin(m) [5]ymax(m) [6]zmin(m) [7]zmax(m) [8]pxmin(kg*m/s) [9]pxmax(kg*m/s) [10]pymin(kg*m/s) [11]pymax(kg*m/s) [12]pzmin(kg*m/s) [13]pzmax(kg*m/s) [14]gmin() [15]gmax() [16]wmin(1/m) [17]wmax(1/m)
304 3.51345150002235e-14 2.53510885249978e-05 6.99999944876742e-05 0.00000000000000e+00 0.00000000000000e+00 1.52646803358505e-11 2.99999890777069e-05 -5.54313949245403e-24 5.45809115407876e-24 -5.89903844215792e-24 5.98472388208939e-24 -4.99922007462065e-24 5.37652918440017e-24 1.00000000055645e+00 1.00028182413746e+00 2.17744964096033e+10 2.17744964096033e+10
312 3.60591075002294e-14 2.53502284111881e-05 6.99999675044159e-05 0.00000000000000e+00 0.00000000000000e+00 1.72038142466722e-11 2.99999831839779e-05 -5.39119735619519e-24 5.46760927884452e-24 -5.89851167926964e-24 5.98171965220559e-24 -4.94717168888079e-24 5.46794108343495e-24 1.00000000036673e+00 1.00028393500949e+00 2.17744964096033e+10 2.17744964096033e+10
320 3.69837000002352e-14 2.53494234686552e-05 6.99999916611539e-05 0.00000000000000e+00 0.00000000000000e+00 2.00893960517758e-11 2.99999632781188e-05 -5.23754698773677e-24 5.45751261750242e-24 -5.89505399536738e-24 5.98381955276819e-24 -4.94588094158553e-24 5.54777867216690e-24 1.00000000325006e+00 1.00028531845115e+00 2.17744964096033e+10 2.17744964096033e+10
328 3.79082925002411e-14 2.53486683761058e-05 6.99999238623831e-05 0.00000000000000e+00 0.00000000000000e+00 4.90848352041818e-11 2.99999929979621e-05 -5.25106744185711e-24 5.42919609225148e-24 -5.88877806580139e-24 5.98466078872181e-24 -5.02168064773904e-24 5.61193320799746e-24 1.00000000361773e+00 1.00028604073367e+00 2.17744964096033e+10 2.17744964096033e+10
336 3.88328850002470e-14 2.53479609273370e-05 6.99999896103669e-05 0.00000000000000e+00 0.00000000000000e+00 2.42172129788845e-12 2.99999847795505e-05 -5.29781823180554e-24 5.39832058232305e-24 -5.88315238037496e-24 5.98364367331671e-24 -5.10774985833130e-24 5.65935417086574e-24 1.00000000073265e+00 1.00028593099608e+00 2.17744964096033e+10 2.17744964096033e+10
344 3.97574775002529e-14 2.53472951872179e-05 6.99999809613583e-05 0.00000000000000e+00 0.00000000000000e+00 4.67377559727735e-11 2.99999413316088e-05 -5.33535569474889e-24 5.37097069875232e-24 -5.87744057754464e-24 5.98450045654080e-24 -5.19837173150227e-24 5.68628201264632e-24 1.00000000415672e+00 1.00028538768842e+00 2.17744964096033e+10 2.17744964096033e+10
352 4.06820700002588e-14 2.53466672983306e-05 6.99999778502634e-05 0.00000000000000e+00 0.00000000000000e+00 2.07784158103157e-12 2.99999916058776e-05 -5.35567635472384e-24 5.34953707470755e-24 -5.87601522785892e-24 5.98534961657438e-24 -5.28629438042656e-24 5.68750778493780e-24 1.00000000221790e+00 1.00028396971073e+00 2.17744964096033e+10 2.17744964096033e+10
360 4.16066625002647e-14 2.53460726636305e-05 6.99998871585146e-05 0.00000000000000e+00 0.00000000000000e+00 1.76323155936264e-11 2.99999494340803e-05 -5.34968101249685e-24 5.32863928389301e-24 -5.87919144650097e-24 5.98851314905500e-24 -5.36527191506605e-24 5.67013445046331e-24 1.00000000155144e+00 1.00028237002826e+00 2.17744964096033e+10 2.17744964096033e+10
368 4.25312550002705e-14 2.53455082753820e-05 6.99999843487563e-05 0.00000000000000e+00 0.00000000000000e+00 1.98049108036919e-11 2.99999701442029e-05 -5.31497893924505e-24 5.31137734855354e-24 -5.88073454064162e-24 5.98891745182506e-24 -5.42891446460566e-24 5.63652863783634e-24 1.00000000047769e+00 1.00028060366254e+00 2.17744964096033e+10 2.17744964096033e+10
376 4.34558475002764e-14 2.53448613468606e-05 6.99999296470014e-05 0.00000000000000e+00 0.00000000000000e+00 8.94942840165705e-12 2.99999693807084e-05 -5.26633396648461e-24 5.29720771794178e-24 -5.88125276712562e-24 5.98523511363108e-24 -5.46669995322741e-24 5.59184307723896e-24 1.00000000252930e+00 1.00027896911082e+00 2.17744964096033e+10 2.17744964096033e+10
384 4.43804400002823e-14 2.53433627297853e-05 6.99999652650425e-05 0.00000000000000e+00 0.00000000000000e+00 1.42905977804710e-11 2.99999501351830e-05 -5.26053505955286e-24 5.28367938277396e-24 -5.88481609216106e-24 5.98132122670267e-24 -5.47647307150569e-24 5.54006241065063e-24 1.00000000157386e+00 1.00027754977693e+00 2.17744964096033e+10 2.17744964096033e+10
392 4.53050325002882e-14 2.53419078292385e-05 6.99999968296244e-05 0.00000000000000e+00 0.00000000000000e+00 3.62380653371082e-11 2.99999764201229e-05 -5.21498511690016e-24 5.27214327716925e-24 -5.88844037721914e-24 5.97911888179431e-24 -5.45484432610579e-24 5.48575725758297e-24 1.00000000626298e+00 1.00027614769257e+00 2.17744964096033e+10 2.17744964096033e+10
400 4.62296250002941e-14 2.53404954048956e-05 6.99999858992042e-05 0.00000000000000e+00 0.00000000000000e+00 1.93752256433092e-11 2.99999813409059e-05 -5.20540962009065e-24 5.26675754011930e-24 -5.89191539456674e-24 5.97717875227227e-24 -5.40560221274645e-24 5.42489566920638e-24 1.00000000143200e+00 1.00027514393566e+00 2.17744964096033e+10 2.17744964096033e+10
408 4.71542175003000e-14 2.53391231476728e-05 6.99999376353848e-05 0.00000000000000e+00 0.00000000000000e+00 3.36079226887019e-11 2.99999571958539e-05 -5.25760351652893e-24 5.27026989901307e-24 -5.88948595257394e-24 5.97666027728193e-24 -5.33299853745804e-24 5.35755552299806e-24 1.00000000211891e+00 1.00027426260012e+00 2.17744964096033e+10 2.17744964096033e+10
416 4.80788100003058e-14 2.53377916449911e-05 6.99999773162599e-05 0.00000000000000e+00 0.00000000000000e+00 1.61663138425479e-10 2.99999819340462e-05 -5.28024771195979e-24 5.28403266263221e-24 -5.88741027069993e-24 5.97446949157344e-24 -5.23980348333445e-24 5.29224892599046e-24 1.00000000144217e+00 1.00027361215114e+00 2.17744964096033e+10 2.17744964096033e+10
424 4.90034025003117e-14 2.53365014449042e-05 6.99999422886353e-05 0.00000000000000e+00 0.00000000000000e+00 1.36727321732057e-11 2.99999727900597e-05 -5.27390275852917e-24 5.29899315525817e-24 -5.88309351275986e-24 5.97427836333854e-24 -5.13758981835874e-24 5.25168525093074e-24 1.00000000265447e+00 1.00027276833015e+00 2.17744964096033e+10 2.17744964096033e+10
432 4.99279950003176e-14 2.53352530249557e-05 6.99999829943811e-05 0.00000000000000e+00 0.00000000000000e+00 3.11715082025536e-12 2.99999934017470e-05 -5.24174332335168e-24 5.30974235796967e-24 -5.88303745542805e-24 5.97186409413316e-24 -5.17801168889994e-24 5.20461873689583e-24 1.00000000213083e+00 1.00027159444393e+00 2.17744964096033e+10 2.17744964096033e+10
440 5.08525875003235e-14 2.53340493372971e-05 6.99999184977673e-05 0.00000000000000e+00 0.00000000000000e+00 5.53568231801327e-11 2.99999235004134e-05 -5.18225446047540e-24 5.31654845571489e-24 -5.88233389425243e-24 5.97340165428609e-24 -5.21567314427895e-24 5.15276330039555e-24 1.00000000122556e+00 1.00027010079443e+00 2.17744964096033e+10 2.17744964096033e+10
448 5.17771800003294e-14 2.53328905894253e-05 6.99999815653293e-05 0.00000000000000e+00 0.00000000000000e+00 1.12316832707505e-11 2.99999057963926e-05 -5.21532427282855e-24 5.30864706766959e-24 -5.88073184852070e-24 5.97667300167598e-24 -5.23215556745201e-24 5.14181644380081e-24 1.00000000262681e+00 1.00026962376028e+00 2.17744964096033e+10 2.17744964096033e+10
456 5.27017725003352e-14 2.53317759703171e-05 6.99998708403528e-05 0.00000000000000e+00 0.00000000000000e+00 1.79110949818520e-12 2.99997853156323e-05 -5.28765319060119e-24 5.31671760859172e-24 -5.87765777880949e-24 5.97573665727378e-24 -5.22450789992554e-24 5.12894129009928e-24 1.00000000174079e+00 1.00027063848305e+00 2.17744964096033e+10 2.17744964096033e+10
