#[0]step() [1]time(s) [2]total_lev0(J) [3]E_lev0(J) [4]B_lev0(J)
1832 2.11731682501347e-13 9.93117988381387e+05 5.01366009312045e+05 4.91751979069342e+05
1840 2.12656275001353e-13 9.93113448522219e+05 5.01352581733416e+05 4.91760866788802e+05
1848 2.13580867501359e-13 9.93109565597432e+05 5.01364071613008e+05 4.91745493984425e+05
1856 2.14505460001365e-13 9.93107952110305e+05 5.01366038990378e+05 4.91741913119927e+05
1864 2.15430052501371e-13 9.93104207749782e+05 5.01351590117671e+05 4.91752617632111e+05
1872 2.16354645001376e-13 9.93101114966677e+05 5.01356685749401e+05 4.91744429217277e+05
1880 2.17279237501382e-13 9.93096529508003e+05 5.01362270032449e+05 4.91734259475554e+05
1888 2.18203830001388e-13 9.93093388512945e+05 5.01350291866944e+05 4.91743096646000e+05
1896 2.19128422501394e-13 9.93090395781322e+05 5.01350905867109e+05 4.91739489914213e+05
1904 2.20053015001400e-13 9.93085856055607e+05 5.01358181554095e+05 4.91727674501512e+05
1912 2.20977607501406e-13 9.93084483756718e+05 5.01349155986692e+05 4.91735327770026e+05
1920 2.21902200001412e-13 9.93081184698933e+05 5.01349238957437e+05 4.91731945741496e+05
1928 2.22826792501418e-13 9.93077996287114e+05 5.01352298901037e+05 4.91725697386077e+05
1936 2.23751385001423e-13 9.93073138129915e+05 5.01347101845013e+05 4.91726036284902e+05
1944 2.24675977501429e-13 9.93069430389898e+05 5.01346018905866e+05 4.91723411484032e+05
1952 2.25600570001435e-13 9.93066533212004e+05 5.01347323377617e+05 4.91719209834387e+05
1960 2.26525162501441e-13 9.93063682763416e+05 5.01345101592392e+05 4.91718581171024e+05
1968 2.27449755001447e-13 9.93059409096506e+05 5.01342458899554e+05 4.91716950196953e+05
1976 2.28374347501453e-13 9.93053351008977e+05 5.01343537115522e+05 4.91709813893455e+05
1984 2.29298940001458e-13 9.93049067843601e+05 5.01337337504102e+05 4.91711730339499e+05
1992 2.30223532501464e-13 9.93046253915019e+05 5.01337996758281e+05 4.91708257156738e+05
2000 2.31148125001470e-13 9.93042354818366e+05 5.01340438614694e+05 4.91701916203672e+05
2008 2.32072717501475e-13 9.93040640311054e+05 5.01332934516740e+05 4.91707705794314e+05
2016 2.32997310001481e-13 9.93035556404217e+05 5.01331216061944e+05 4.91704340342272e+05
2024 2.33921902501487e-13 9.93032919420216e+05 5.01337021898013e+05 4.91695897522203e+05
2032 2.34846495001492e-13 9.93027835937441e+05 5.01331788907302e+05 4.91696047030139e+05
2040 2.35771087501498e-13 9.93022748465408e+05 5.01323930786026e+05 4.91698817679382e+05
2048 2.36695680001504e-13 9.93018697803527e+05 5.01329003578072e+05 4.91689694225456e+05
2056 2.37620272501510e-13 9.93014294004027e+05 5.01330101303633e+05 4.91684192700395e+05
2064 2.38544865001515e-13 9.93007128483773e+05 5.01318524469325e+05 4.91688604014449e+05
2072 2.39469457501521e-13 9.93000593746732e+05 5.01317677217982e+05 4.91682916528749e+05
2080 2.40394050001527e-13 9.92992615406991e+05 5.01325281930047e+05 4.91667333476944e+05
2088 2.41318642501532e-13 9.92987844367596e+05 5.01311418713362e+05 4.91676425654234e+05
2096 2.42243235001538e-13 9.92980353843521e+05 5.01307780656037e+05 4.91672573187484e+05
2104 2.43167827501544e-13 9.92970902234189e+05 5.01316557990187e+05 4.91654344244002e+05
2112 2.44092420001549e-13 9.92960282659349e+05 5.01303600795314e+05 4.91656681864035e+05
2120 2.45017012501555e-13 9.92951496887383e+05 5.01290264412419e+05 4.91661232474964e+05
2128 2.45941605001561e-13 9.92932908333070e+05 5.01298574888842e+05 4.91634333444228e+05
2136 2.46866197501566e-13 9.92912293142336e+05 5.01286130144584e+05 4.91626162997753e+05
2144 2.47790790001572e-13 9.92893073984515e+05 5.01262383373494e+05 4.91630690611021e+05
2152 2.48715382501578e-13 9.92862647315701e+05 5.01261261047101e+05 4.91601386268599e+05
2160 2.49639975001583e-13 9.92822920308470e+05 5.01249170565221e+05 4.91573749743248e+05
2168 2.50564567501589e-13 9.92790822226201e+05 5.01216559120588e+05 4.91574263105613e+05
2176 2.51489160001595e-13 9.92737397890794e+05 5.01195373653146e+05 4.91542024237649e+05
2184 2.52413752501600e-13 9.92651045790684e+05 5.01166768859910e+05 4.91484276930774e+05
2192 2.53338345001606e-13 9.92587177371006e+05 5.01124586989302e+05 4.91462590381704e+05
2200 2.54262937501612e-13 9.92485159809630e+05 5.01070030455168e+05 4.91415129354462e+05
2208 2.55187530001617e-13 9.92303782430759e+05 5.00991547774541e+05 4.91312234656218e+05
2216 2.56112122501623e-13 9.92171949942986e+05 5.00924829939953e+05 4.91247120003033e+05
2224 2.57036715001629e-13 9.91990084200814e+05 5.00827780561797e+05 4.91162303639016e+05
2232 2.57961307501634e-13 9.91617265184828e+05 5.00651596864732e+05 4.90965668320096e+05
2240 2.58885900001640e-13 9.91351765207295e+05 5.00514035278114e+05 4.90837729929181e+05
2248 2.59810492501646e-13 9.91006684340752e+05 5.00340814403366e+05 4.90665869937387e+05
2256 2.60735085001652e-13 9.90281510014147e+05 4.99990358711966e+05 4.90291151302181e+05
2264 2.61659677501657e-13 9.89791000153818e+05 4.99730172505704e+05 4.90060827648114e+05
2272 2.62584270001663e-13 9.89138364343358e+05 4.99403925656876e+05 4.89734438686481e+05
2280 2.63508862501669e-13 9.87792174483731e+05 4.98760906501800e+05 4.89031267981931e+05
2288 2.64433455001674e-13 9.86907834766871e+05 4.98284312111003e+05 4.88623522655868e+05
2296 2.65358047501680e-13 9.85750287521588e+05 4.97692310098215e+05 4.88057977423373e+05
2304 2.66282640001686e-13 9.83402616751299e+05 4.96584700117514e+05 4.86817916633784e+05
2312 2.67207232501691e-13 9.81833522521230e+05 4.95756820112175e+05 4.86076702409055e+05
2320 2.68131825001697e-13 9.79975652454115e+05 4.94762424082387e+05 4.85213228371728e+05
2328 2.69056417501703e-13 9.76108978177050e+05 4.92939184845855e+05 4.83169793331195e+05
2336 2.69981010001708e-13 9.73354102274561e+05 4.91548672438847e+05 4.81805429835714e+05
2344 2.70905602501714e-13 9.70602627729720e+05 4.90022902936732e+05 4.80579724792989e+05
2352 2.71830195001720e-13 9.64598772672473e+05 4.87131692565142e+05 4.77467080107331e+05
2360 2.72754787501725e-13 9.59820498886997e+05 4.84836664550991e+05 4.74983834336006e+05
