#[0]step() [1]time(s) [2]momentum_x_lev0(kg*m/s) [3]momentum_y_lev0(kg*m/s) [4]momentum_z_lev0(kg*m/s)
1192 1.37764282500876e-13 3.24670466344435e-03 -1.97955892451187e-12 1.17586341923973e-08
1200 1.38688875000882e-13 3.24665983494000e-03 -1.88639760368674e-12 4.77246963844082e-08
1208 1.39613467500888e-13 3.24661410255725e-03 -1.38349394367415e-12 -5.25431562348008e-08
1216 1.40538060000894e-13 3.24656733569321e-03 -7.90810276945248e-13 2.24111508187067e-08
1224 1.41462652500900e-13 3.24651898293872e-03 5.14565948171149e-14 2.18144407105736e-08
1232 1.42387245000906e-13 3.24647321029595e-03 9.85284947941655e-13 -6.24956218681270e-08
1240 1.43311837500912e-13 3.24642512171199e-03 1.13994541386526e-12 4.40402654619489e-08
1248 1.44236430000918e-13 3.24637558007856e-03 1.29655313663656e-12 2.19128695400880e-08
1256 1.45161022500923e-13 3.24632662318227e-03 1.22841762708489e-12 -6.16864449608122e-08
1264 1.46085615000929e-13 3.24627684410056e-03 7.30419002536105e-13 4.58255122629287e-08
1272 1.47010207500935e-13 3.24622793164602e-03 3.51430985141335e-13 -2.25855794342502e-09
1280 1.47934800000941e-13 3.24617733140092e-03 7.46690026492028e-13 -5.07658920429035e-08
1288 1.48859392500947e-13 3.24612865184506e-03 1.28865804587990e-12 5.88149997045063e-08
1296 1.49783985000953e-13 3.24607844999872e-03 1.33203870999624e-12 -1.34413100920917e-08
1304 1.50708577500959e-13 3.24602659908952e-03 1.84679569890913e-12 -4.08506616414953e-08
1312 1.51633170000965e-13 3.24597887828456e-03 2.65466924113710e-12 5.15575819042298e-08
1320 1.52557762500971e-13 3.24593174337300e-03 2.75685447452639e-12 -2.42796597371805e-08
1328 1.53482355000976e-13 3.24588288260467e-03 2.43008275265980e-12 -2.23342109394279e-08
1336 1.54406947500982e-13 3.24583261335436e-03 2.39094213278950e-12 4.82969395739288e-08
1344 1.55331540000988e-13 3.24578369081511e-03 1.87856620918689e-12 -3.72933962423337e-08
1352 1.56256132500994e-13 3.24573871098111e-03 1.45403425364171e-12 -7.34095039402260e-09
1360 1.57180725001000e-13 3.24569232771947e-03 1.22993169458235e-13 4.48571237995370e-08
1368 1.58105317501006e-13 3.24564626975630e-03 -1.02372992991462e-12 -4.27603764529254e-08
1376 1.59029910001012e-13 3.24559716946279e-03 -1.02599907979463e-12 7.86247452504503e-10
1384 1.59954502501018e-13 3.24555349070626e-03 -9.31696413098688e-13 3.06038774696562e-08
1392 1.60879095001023e-13 3.24551092248184e-03 -1.29110079988898e-12 -3.65049111235807e-08
1400 1.61803687501029e-13 3.24546562595271e-03 -1.57194192578139e-12 1.40029034576750e-08
1408 1.62728280001035e-13 3.24542332637573e-03 -1.92827529029163e-12 1.76557546462174e-08
1416 1.63652872501041e-13 3.24537800208388e-03 -2.87945990511541e-12 -3.96952527705592e-08
1424 1.64577465001047e-13 3.24533689892312e-03 -3.36676807089757e-12 2.12545770818976e-08
1432 1.65502057501053e-13 3.24529580151862e-03 -3.13928791212007e-12 9.92278111083771e-09
1440 1.66426650001059e-13 3.24525732213701e-03 -2.39106377383250e-12 -3.07178381513785e-08
1448 1.67351242501065e-13 3.24521452360585e-03 -2.12056246500925e-12 2.05866610677830e-08
1456 1.68275835001071e-13 3.24517225673902e-03 -1.94291095226773e-12 -1.03637113601727e-09
1464 1.69200427501076e-13 3.24513937933923e-03 -1.00612235878713e-12 -2.29752567045308e-08
1472 1.70125020001082e-13 3.24510114360091e-03 7.60587696797925e-13 2.07570755924669e-08
1480 1.71049612501088e-13 3.24506400340391e-03 1.92545358907918e-12 -4.67558708624013e-09
1488 1.71974205001094e-13 3.24502574401531e-03 3.01635629988498e-12 -1.24359532358638e-08
1496 1.72898797501100e-13 3.24498592134054e-03 3.97721448368305e-12 1.21056597589518e-08
1504 1.73823390001106e-13 3.24495900770775e-03 4.24761606366498e-12 -1.57126656332982e-08
1512 1.74747982501112e-13 3.24492145639528e-03 4.38743376652944e-12 -7.89535466413104e-09
1520 1.75672575001118e-13 3.24488458299963e-03 4.64410242595537e-12 1.37382025764518e-08
1528 1.76597167501123e-13 3.24485036919027e-03 3.78901298818585e-12 -1.22787703411836e-08
1536 1.77521760001129e-13 3.24481811737113e-03 2.35383209152684e-12 -1.06045147040065e-08
1544 1.78446352501135e-13 3.24479074227776e-03 1.22639610933642e-12 1.12917204049715e-08
1552 1.79370945001141e-13 3.24475902729324e-03 -3.28429394923704e-13 -1.91131533623395e-08
1560 1.80295537501147e-13 3.24472720047061e-03 -1.83643301681837e-12 -7.13546985717207e-09
1568 1.81220130001153e-13 3.24469792535301e-03 -3.97274205972754e-12 7.76869277790427e-09
1576 1.82144722501159e-13 3.24466954607503e-03 -4.59240235561471e-12 -7.71654021971220e-09
1584 1.83069315001165e-13 3.24463792956440e-03 -3.49961999110473e-12 5.59582519436272e-10
1592 1.83993907501171e-13 3.24461518940277e-03 -3.92317668134909e-12 -1.06310804536309e-09
1600 1.84918500001176e-13 3.24458370365592e-03 -3.67690547066089e-12 -1.35680601289741e-08
1608 1.85843092501182e-13 3.24455600558590e-03 -2.77374490110495e-12 -1.84644378780029e-09
1616 1.86767685001188e-13 3.24453593399296e-03 -2.54638593343229e-12 -8.07534051565879e-09
1624 1.87692277501194e-13 3.24450957455223e-03 -2.74640555744218e-12 -4.01195901097949e-09
1632 1.88616870001200e-13 3.24448393286635e-03 -2.52762435772099e-12 6.35558696121480e-09
1640 1.89541462501206e-13 3.24445642572490e-03 -2.63729521060793e-12 1.07440650138533e-08
1648 1.90466055001212e-13 3.24443038640413e-03 -1.72580633410888e-12 -6.86662873815601e-09
1656 1.91390647501218e-13 3.24441147789680e-03 3.09091138354105e-13 -1.23707661079334e-08
1664 1.92315240001223e-13 3.24438775441893e-03 1.70465400097531e-12 -1.19238132839267e-08
1672 1.93239832501229e-13 3.24437132058796e-03 2.98564588564870e-12 -1.35130808520606e-08
1680 1.94164425001235e-13 3.24435309258963e-03 3.86022105883967e-12 -7.56201177585144e-09
1688 1.95089017501241e-13 3.24433731928953e-03 4.24676021979913e-12 3.33627550467770e-09
1696 1.96013610001247e-13 3.24432098812538e-03 4.94890589315127e-12 4.72198031527017e-09
1704 1.96938202501253e-13 3.24430105186139e-03 5.99577205521860e-12 7.93909353191612e-09
1712 1.97862795001259e-13 3.24428281065899e-03 6.00297162845259e-12 -1.99681037910978e-09
1720 1.98787387501265e-13 3.24426123998162e-03 6.09615654458619e-12 -7.58241750476169e-09
1728 1.99711980001271e-13 3.24424938658749e-03 5.31678686992789e-12 -1.43281810004283e-08
1736 2.00636572501276e-13 3.24423513404858e-03 4.08410914624568e-12 -1.82279775440717e-08
1744 2.01561165001282e-13 3.24422405246619e-03 2.48554885920812e-12 -2.96819751914904e-08
1752 2.02485757501288e-13 3.24421141833435e-03 4.71440290847503e-13 -1.58370568016243e-08
1760 2.03410350001294e-13 3.24420235403545e-03 -1.48274087420031e-12 -5.09346447620611e-09
1768 2.04334942501300e-13 3.24417772971436e-03 -3.48300315674051e-12 1.20967444950643e-08
1776 2.05259535001306e-13 3.24414898271799e-03 -5.62448418225946e-12 6.03589087220240e-09
1784 2.06184127501312e-13 3.24412319364875e-03 -6.85027040638107e-12 5.40342010341486e-09
1792 2.07108720001318e-13 3.24410605649752e-03 -7.15675215322981e-12 1.76954650569136e-09
1800 2.08033312501323e-13 3.24409412311257e-03 -5.94956861331944e-12 -7.61649873201964e-09
1808 2.08957905001329e-13 3.24408014327970e-03 -5.49208443963683e-12 -1.65681829094260e-08
1816 2.09882497501335e-13 3.24407165942072e-03 -3.26172064542493e-12 -2.41969051376096e-08
1824 2.10807090001341e-13 3.24406170259459e-03 -1.34152963982446e-12 -2.59529549225729e-08
1832 2.11731682501347e-13 3.24404562768527e-03 -2.78205035401096e-13 -2.57058877329018e-08
1840 2.12656275001353e-13 3.24402715896373e-03 3.86004986183397e-13 -7.05731726222649e-09
1848 2.13580867501359e-13 3.24400950558691e-03 1.72234616150904e-12 6.07264528992851e-09
1856 2.14505460001365e-13 3.24399933320992e-03 2.75251630306043e-12 5.56986742244079e-09
1864 2.15430052501371e-13 3.24398427915698e-03 4.46998748894780e-12 -2.32376066444984e-09
1872 2.16354645001376e-13 3.24396913316548e-03 5.00136701159714e-12 -3.16516188087634e-09
1880 2.17279237501382e-13 3.24394926258187e-03 5.20946871367117e-12 -1.08713682700191e-08
1888 2.18203830001388e-13 3.24393594044343e-03 4.51544105476589e-12 -1.27429232762367e-08
1896 2.19128422501394e-13 3.24392074220049e-03 3.48439363780424e-12 -1.00394220867988e-08
1904 2.20053015001400e-13 3.24390032540082e-03 2.89327367395312e-12 1.33862380556652e-09
1912 2.20977607501406e-13 3.24389093427146e-03 1.92087951676056e-12 -1.02766927074455e-08
1920 2.21902200001412e-13 3.24387431327986e-03 4.41147284337748e-13 -1.72348215655313e-08
1928 2.22826792501418e-13 3.24385703836185e-03 7.44127247073285e-13 -2.33351052344604e-08
1936 2.23751385001423e-13 3.24383543770154e-03 1.91569674478947e-12 -2.36355864756877e-08
1944 2.24675977501429e-13 3.24381641953071e-03 2.88866494652464e-12 -1.87625318891560e-08
1952 2.25600570001435e-13 3.24380105326901e-03 3.93888000192082e-12 -1.32910352277437e-08
1960 2.26525162501441e-13 3.24378549605292e-03 3.31757004136053e-12 -7.74796219949210e-09
1968 2.27449755001447e-13 3.24376567947337e-03 1.85195079231374e-12 -4.30256607815006e-09
1976 2.28374347501453e-13 3.24373956192334e-03 5.04773743709812e-13 -1.09569778518722e-09
1984 2.29298940001458e-13 3.24372014404272e-03 -9.55258486014724e-13 -2.22589554593999e-09
1992 2.30223532501464e-13 3.24370467423682e-03 -2.64085694216037e-12 -7.34799660642696e-09
2000 2.31148125001470e-13 3.24368624309160e-03 -4.39208522359191e-12 -1.27601350773783e-08
2008 2.32072717501475e-13 3.24367403960983e-03 -5.25767436457602e-12 -1.62218517016473e-08
2016 2.32997310001481e-13 3.24365020727861e-03 -6.19064165890918e-12 -1.23794467108010e-08
2024 2.33921902501487e-13 3.24363340843625e-03 -6.88048337084535e-12 -1.25064454834680e-08
2032 2.34846495001492e-13 3.24360941679714e-03 -6.62383687963885e-12 -3.63949417499298e-09
2040 2.35771087501498e-13 3.24358366531275e-03 -5.25510805366882e-12 -1.02303033269925e-08
2048 2.36695680001504e-13 3.24356172053393e-03 -4.07373370122151e-12 -1.34777691131998e-08
2056 2.37620272501510e-13 3.24353622025374e-03 -2.83349421036864e-12 -1.73185332687385e-08
2064 2.38544865001515e-13 3.24350389045917e-03 -1.08871350200752e-12 -2.20765992136284e-08
2072 2.39469457501521e-13 3.24347259183944e-03 1.53345337333390e-13 -2.86626283665525e-08
2080 2.40394050001527e-13 3.24343617286167e-03 1.45746968636536e-12 -3.31451907907066e-08
2088 2.41318642501532e-13 3.24341245346960e-03 1.22816302873843e-12 -3.01390305595603e-08
2096 2.42243235001538e-13 3.24337981958744e-03 8.62623817348679e-13 -2.68016946739748e-08
2104 2.43167827501544e-13 3.24333966670772e-03 1.14948126075545e-12 -2.67264831699442e-08
2112 2.44092420001549e-13 3.24329572924368e-03 7.01295708026734e-13 -2.08826894513331e-08
2120 2.45017012501555e-13 3.24325981541741e-03 -8.53354145699846e-13 -1.07456287993359e-08
2128 2.45941605001561e-13 3.24319016135386e-03 -2.55969615468375e-12 -2.26803057271302e-09
2136 2.46866197501566e-13 3.24311197130576e-03 -5.16460177044100e-12 1.07894646116711e-08
2144 2.47790790001572e-13 3.24304148903954e-03 -6.49134220675175e-12 1.04516560624557e-08
2152 2.48715382501578e-13 3.24293478154489e-03 -6.74170581972043e-12 9.81593470554787e-09
2160 2.49639975001583e-13 3.24278871935332e-03 -7.16140364093667e-12 5.48636786642597e-09
2168 2.50564567501589e-13 3.24267262832905e-03 -4.93610274000980e-12 2.84590942829735e-09
2176 2.51489160001595e-13 3.24249672136006e-03 -2.18889675515701e-12 -6.33057722954592e-09
2184 2.52413752501600e-13 3.24219459402053e-03 -1.44352153228401e-12 -9.73703547102581e-09
2192 2.53338345001606e-13 3.24196312164340e-03 5.33110696102967e-13 -3.24860911945644e-08
2200 2.54262937501612e-13 3.24164006855853e-03 1.29782044922560e-12 -4.28154379702352e-08
2208 2.55187530001617e-13 3.24102296735308e-03 1.97934349726036e-12 -5.62133275214230e-08
2216 2.56112122501623e-13 3.24054821729747e-03 4.31956704981477e-12 -7.68291952225483e-08
2224 2.57036715001629e-13 3.23998517922072e-03 4.22060892610362e-12 -8.70229980831148e-08
2232 2.57961307501634e-13 3.23873763186119e-03 2.02813150196086e-12 -6.33471350548544e-08
2240 2.58885900001640e-13 3.23778458478369e-03 3.06566230433852e-12 -8.82428871566936e-08
2248 2.59810492501646e-13 3.23673232965383e-03 3.07861207642059e-12 -3.52691109131387e-08
2256 2.60735085001652e-13 3.23431611071485e-03 1.65426477940353e-13 -2.42469689312890e-08
2264 2.61659677501657e-13 3.23255846447201e-03 4.75306301977728e-13 -1.57555958605422e-08
2272 2.62584270001663e-13 3.23058237515191e-03 4.41041013221134e-13 3.87794930851280e-08
2280 2.63508862501669e-13 3.22610270843069e-03 -3.09909283155627e-12 4.37541157977595e-08
2288 2.64433455001674e-13 3.22294045524351e-03 -2.59656280777120e-12 5.39034453852945e-08
